Thu Apr 26 00:04:25 2018	Sat=18144	Over=10	Time=11	temp=81.7'C
Thu Apr 26 00:09:25 2018	Sat=26024	Over=0	Time=11	temp=80.6'C
Thu Apr 26 00:15:14 2018	Sat=0	Over=0	Time=38	temp=74.7'C
Thu Apr 26 00:24:23 2018	Sat=0	Over=0	Time=13	temp=64.5'C
Thu Apr 26 00:29:23 2018	Sat=4359	Over=0	Time=12	temp=78.4'C
Thu Apr 26 00:34:23 2018	Sat=26633	Over=0	Time=12	temp=80.6'C
Thu Apr 26 00:39:23 2018	Sat=26886	Over=1	Time=13	temp=80.6'C
Thu Apr 26 00:43:08 2018	Sat=0	Over=0	Time=15	temp=70.9'C
Thu Apr 26 00:48:08 2018	Sat=12964	Over=0	Time=11	temp=80.6'C
Thu Apr 26 00:50:19 2018	Sat=0	Over=0	Time=19	temp=77.4'C
Thu Apr 26 00:55:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 01:00:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 01:05:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 01:10:19 2018	Sat=0	Over=2	Time=12	temp=81.1'C
Thu Apr 26 01:15:19 2018	Sat=0	Over=5	Time=13	temp=81.7'C
Thu Apr 26 01:20:19 2018	Sat=0	Over=1	Time=14	temp=80.1'C
Thu Apr 26 01:25:19 2018	Sat=0	Over=0	Time=14	temp=80.6'C
Thu Apr 26 01:30:19 2018	Sat=0	Over=1	Time=13	temp=80.6'C
Thu Apr 26 01:35:19 2018	Sat=0	Over=0	Time=15	temp=81.7'C
Thu Apr 26 01:40:19 2018	Sat=0	Over=0	Time=13	temp=80.1'C
Thu Apr 26 01:45:19 2018	Sat=0	Over=2	Time=15	temp=81.7'C
Thu Apr 26 01:50:19 2018	Sat=0	Over=3	Time=13	temp=80.6'C
Thu Apr 26 01:55:19 2018	Sat=0	Over=1	Time=12	temp=80.6'C
Thu Apr 26 02:00:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 02:05:19 2018	Sat=0	Over=5	Time=14	temp=80.6'C
Thu Apr 26 02:10:19 2018	Sat=0	Over=2	Time=14	temp=80.6'C
Thu Apr 26 02:15:19 2018	Sat=0	Over=0	Time=13	temp=80.1'C
Thu Apr 26 02:20:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 02:25:19 2018	Sat=0	Over=0	Time=15	temp=81.1'C
Thu Apr 26 02:30:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 02:35:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 02:40:19 2018	Sat=0	Over=0	Time=15	temp=80.6'C
Thu Apr 26 02:45:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 02:50:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 02:55:19 2018	Sat=0	Over=1	Time=13	temp=79.5'C
Thu Apr 26 03:00:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 03:05:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 03:10:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 03:15:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 03:20:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 03:25:19 2018	Sat=0	Over=0	Time=14	temp=81.7'C
Thu Apr 26 03:30:19 2018	Sat=0	Over=0	Time=14	temp=80.6'C
Thu Apr 26 03:35:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 03:40:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 03:45:19 2018	Sat=2	Over=0	Time=14	temp=80.6'C
Thu Apr 26 03:50:19 2018	Sat=0	Over=0	Time=14	temp=80.6'C
Thu Apr 26 03:55:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 04:00:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 04:05:19 2018	Sat=0	Over=0	Time=13	temp=80.1'C
Thu Apr 26 04:10:19 2018	Sat=0	Over=0	Time=11	temp=80.1'C
Thu Apr 26 04:15:19 2018	Sat=1	Over=0	Time=12	temp=79.5'C
Thu Apr 26 04:20:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 04:25:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 04:30:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 04:35:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 04:40:19 2018	Sat=0	Over=1	Time=11	temp=80.1'C
Thu Apr 26 04:45:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 04:50:19 2018	Sat=9	Over=0	Time=12	temp=80.6'C
Thu Apr 26 04:55:19 2018	Sat=0	Over=0	Time=11	temp=80.6'C
Thu Apr 26 05:00:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 05:05:19 2018	Sat=0	Over=0	Time=15	temp=80.6'C
Thu Apr 26 05:10:19 2018	Sat=0	Over=0	Time=13	temp=81.1'C
Thu Apr 26 05:15:19 2018	Sat=0	Over=0	Time=13	temp=80.1'C
Thu Apr 26 05:20:19 2018	Sat=0	Over=0	Time=11	temp=80.6'C
Thu Apr 26 05:25:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 05:30:19 2018	Sat=0	Over=0	Time=12	temp=81.1'C
Thu Apr 26 05:35:19 2018	Sat=0	Over=0	Time=13	temp=81.1'C
Thu Apr 26 05:40:19 2018	Sat=0	Over=0	Time=9	temp=80.6'C
Thu Apr 26 05:45:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 05:50:19 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 05:55:19 2018	Sat=0	Over=0	Time=15	temp=80.6'C
Thu Apr 26 06:00:19 2018	Sat=0	Over=0	Time=15	temp=81.1'C
Thu Apr 26 06:05:19 2018	Sat=0	Over=0	Time=14	temp=79.5'C
Thu Apr 26 06:10:19 2018	Sat=0	Over=0	Time=13	temp=80.6'C
Thu Apr 26 06:15:19 2018	Sat=1	Over=0	Time=13	temp=80.6'C
Thu Apr 26 06:20:20 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 06:25:20 2018	Sat=0	Over=0	Time=12	temp=79.5'C
Thu Apr 26 06:30:20 2018	Sat=0	Over=0	Time=11	temp=79.5'C
Thu Apr 26 06:35:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 06:40:20 2018	Sat=0	Over=0	Time=11	temp=79.5'C
Thu Apr 26 06:45:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 06:50:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 06:55:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 07:00:20 2018	Sat=0	Over=0	Time=12	temp=79.5'C
Thu Apr 26 07:05:20 2018	Sat=0	Over=0	Time=11	temp=80.6'C
Thu Apr 26 07:10:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 07:15:20 2018	Sat=0	Over=0	Time=14	temp=79.5'C
Thu Apr 26 07:20:20 2018	Sat=1	Over=0	Time=12	temp=80.1'C
Thu Apr 26 07:25:20 2018	Sat=10	Over=0	Time=12	temp=80.6'C
Thu Apr 26 07:30:20 2018	Sat=8	Over=0	Time=13	temp=80.1'C
Thu Apr 26 07:35:20 2018	Sat=12	Over=0	Time=12	temp=80.1'C
Thu Apr 26 07:40:20 2018	Sat=2	Over=0	Time=12	temp=79.5'C
Thu Apr 26 07:45:20 2018	Sat=1	Over=0	Time=12	temp=79.5'C
Thu Apr 26 07:50:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 07:55:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 08:00:20 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 08:05:20 2018	Sat=2	Over=0	Time=11	temp=80.6'C
Thu Apr 26 08:10:20 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 08:15:20 2018	Sat=0	Over=0	Time=12	temp=80.6'C
Thu Apr 26 08:20:20 2018	Sat=0	Over=0	Time=14	temp=80.6'C
Thu Apr 26 08:25:20 2018	Sat=3	Over=0	Time=14	temp=80.1'C
Thu Apr 26 08:30:20 2018	Sat=2	Over=0	Time=13	temp=80.1'C
Thu Apr 26 08:35:20 2018	Sat=12	Over=0	Time=13	temp=80.6'C
Thu Apr 26 08:40:20 2018	Sat=8	Over=0	Time=12	temp=80.6'C
Thu Apr 26 08:45:20 2018	Sat=0	Over=0	Time=12	temp=80.1'C
Thu Apr 26 08:50:20 2018	Sat=1	Over=0	Time=12	temp=80.1'C
Thu Apr 26 08:55:20 2018	Sat=1	Over=0	Time=12	temp=80.1'C
Thu Apr 26 09:00:20 2018	Sat=4	Over=0	Time=12	temp=80.1'C
Thu Apr 26 09:05:20 2018	Sat=2	Over=0	Time=12	temp=80.6'C
Thu Apr 26 09:10:20 2018	Sat=56	Over=0	Time=16	temp=80.6'C
Thu Apr 26 09:15:20 2018	Sat=0	Over=0	Time=13	temp=80.1'C
Thu Apr 26 09:20:20 2018	Sat=3	Over=0	Time=11	temp=80.6'C
Thu Apr 26 09:25:20 2018	Sat=6	Over=0	Time=13	temp=80.6'C
Thu Apr 26 09:30:20 2018	Sat=11	Over=0	Time=12	temp=80.6'C
Thu Apr 26 09:35:20 2018	Sat=200	Over=2	Time=12	temp=80.6'C
Thu Apr 26 09:40:20 2018	Sat=3173	Over=21	Time=24	temp=78.4'C
Thu Apr 26 09:45:20 2018	Sat=428	Over=34	Time=23	temp=77.4'C
Thu Apr 26 09:50:20 2018	Sat=8	Over=14	Time=11	temp=80.6'C
Thu Apr 26 12:04:07 2018	Sat=0	Over=0	Time=12	temp=60.1'C
Thu Apr 26 12:09:07 2018	Sat=4588	Over=8	Time=15	temp=76.3'C
Thu Apr 26 12:14:07 2018	Sat=4	Over=20	Time=10	temp=79.0'C
Thu Apr 26 12:16:46 2018	Sat=1	Over=0	Time=19	temp=70.9'C
Thu Apr 26 12:19:40 2018	Sat=0	Over=0	Time=13	temp=66.6'C
Thu Apr 26 12:23:56 2018	Sat=0	Over=0	Time=18	temp=66.6'C
Thu Apr 26 12:28:56 2018	Sat=2859	Over=7	Time=11	temp=79.5'C
Thu Apr 26 12:53:20 2018	Sat=0	Over=0	Time=15	temp=60.7'C
Thu Apr 26 12:58:19 2018	Sat=7	Over=0	Time=11	temp=75.2'C
Thu Apr 26 13:03:19 2018	Sat=20608	Over=0	Time=10	temp=79.5'C
Thu Apr 26 13:08:19 2018	Sat=27036	Over=0	Time=11	temp=80.6'C
Thu Apr 26 13:13:19 2018	Sat=27056	Over=0	Time=9	temp=80.6'C
Thu Apr 26 13:18:19 2018	Sat=27056	Over=0	Time=11	temp=81.7'C
Thu Apr 26 13:23:19 2018	Sat=27005	Over=0	Time=11	temp=81.7'C
Thu Apr 26 13:28:19 2018	Sat=27072	Over=0	Time=11	temp=81.7'C
Thu Apr 26 13:33:19 2018	Sat=26866	Over=2	Time=14	temp=81.7'C
Thu Apr 26 13:38:19 2018	Sat=27048	Over=0	Time=11	temp=81.1'C
Thu Apr 26 13:40:59 2018	Sat=11	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=77.4'C
Thu Apr 26 13:45:59 2018	Sat=27030	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=81.1'C
Thu Apr 26 13:50:59 2018	Sat=27050	Over=0	Time=12	Bird_in=0	Bird_out=0	temp=81.7'C
Thu Apr 26 13:55:59 2018	Sat=27010	Over=0	Time=11	Bird_in=0	Bird_out=1	temp=81.7'C
Thu Apr 26 14:00:59 2018	Sat=27049	Over=0	Time=12	Bird_in=0	Bird_out=1	temp=82.2'C
Thu Apr 26 14:05:59 2018	Sat=27047	Over=0	Time=11	Bird_in=0	Bird_out=1	temp=81.7'C
Thu Apr 26 14:10:59 2018	Sat=26987	Over=0	Time=11	Bird_in=2	Bird_out=1	temp=82.2'C
Thu Apr 26 14:15:59 2018	Sat=26895	Over=0	Time=13	Bird_in=2	Bird_out=1	temp=82.7'C
Thu Apr 26 14:20:59 2018	Sat=26778	Over=0	Time=12	Bird_in=2	Bird_out=1	temp=82.2'C
Thu Apr 26 14:25:59 2018	Sat=26107	Over=0	Time=12	Bird_in=2	Bird_out=1	temp=82.2'C
Thu Apr 26 14:30:59 2018	Sat=25395	Over=0	Time=12	Bird_in=2	Bird_out=1	temp=81.7'C
Thu Apr 26 14:33:56 2018	Sat=0	Over=0	Time=19	Bird_in=2	Bird_out=2	temp=70.4'C
Thu Apr 26 14:38:56 2018	Sat=17772	Over=0	Time=11	Bird_in=121	Bird_out=272	temp=81.7'C
Thu Apr 26 14:43:56 2018	Sat=22411	Over=5	Time=13	Bird_in=126	Bird_out=288	temp=82.2'C
Thu Apr 26 14:53:03 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=1	temp=69.3'C
Thu Apr 26 14:58:03 2018	Sat=23773	Over=0	Time=10	Bird_in=138	Bird_out=250	temp=81.1'C
